order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI10384,2018-01-16,08:30:25,Breakfast,NS,"[('Coffee', 6), ('Cereal', 6)]",171.0,37.8061183,144.9342142,1,10.009,7.7884527
ORDB06250,2018-04-16,11:22:49,Breakfast,TP,"[('Eggs', 1), ('Coffee', 6), ('Pancake', 2)]",115.5,-37.8104333,144.9681553,1,8.762,11.7047906
ORDC03391,2018-11-12,18:28:43,Dinner,NS,"[('Pasta', 8), ('Shrimp', 5), ('Salmon', 8), ('Fish&Chips', 6)]",1028.0,-37.8038928,144.9789428,0,7.129,13.0742089
ORDZ10295,2018-08-25,15:46:28,Lunch,NS,"[('Burger', 4), ('Steak', 6)]",394.0,-37.8204834,144.9811666,1,9.603,16.9948446
ORDK02931,2018-12-14,19:29:34,Dinner,BK,"[('Salmon', 10), ('Pasta', 1)]",437.5,-37.8179629,144.932101,0,10.61,17.5070012
ORDC09506,2018-08-30,15:56:37,Lunch,NS,"[('Steak', 7), ('Burger', 1), ('Salad', 8)]",483.6,-37.8077887,144.9397208,0,10.184,15.5643056
ORDI04589,2018-05-16,12:23:39,Breakfast,NS,"[('Chicken', 2), ('Fries', 1), ('Salad', 10)]",248.0,-37.8144028,144.9744978,0,7.795,13.5631536
ORDY05787,2018-01-19,08:30:25,Breakfast,TP,"[('Pancake', 10), ('Coffee', 8), ('Cereal', 6)]",428.5,-37.8100641,144.9305062,0,10.032,14.1459252
ORDI04586,2018-06-09,13:14:21,Lunch,NS,"[('Burger', 1), ('Chicken', 5), ('Steak', 8)]",551.0,-37.8148152,144.9642089,0,8.111,16.1143755
ORDJ00732,2018-05-02,11:53:14,Breakfast,TP,"[('Cereal', 7), ('Coffee', 7), ('Eggs', 3), ('Pancake', 8)]",459.5,37.8086478,144.9529789,0,9.261,11.5895364
ORDI01942,2018-03-06,10:01:41,Breakfast,NS,"[('Cereal', 3), ('Fries', 5), ('Coffee', 3)]",206.75,-37.816075,144.9838443,0,8.661,13.3611771
ORDY06572,2018-07-03,14:05:04,Lunch,TP,"[('Salad', 3), ('Fries', 9), ('Burger', 3), ('Chicken', 4)]",380.6,-37.8095522,144.9645624,1,8.664,12.1636991
ORDY02681,2018-08-06,15:05:54,Lunch,TP,"[('Steak', 3), ('Salad', 6), ('Chicken', 2), ('Fries', 4)]",350.2,-37.8150991,144.9692554,0,8.168,12.0795235
ORDZ06198,2018-01-14,08:20:16,Breakfast,NS,"[('Eggs', 2), ('Cereal', 9), ('Pancake', 3)]",305.75,-37.8025777,144.9456244,1,12.052,7.7475789
ORDY10702,2018-06-15,13:24:30,Lunch,bk,"[('Salad', 2), ('Chicken', 7), ('Burger', 4)]",382.4,-37.81349,144.9656669,0,8.209,11.3941328
ORDC01960,2018-11-11,18:28:43,Dinner,NS,"[('Shrimp', 7), ('Fish&Chips', 8)]",658.0,-37.8030898,144.9612977,0,7.192,15.2545896
ORDI05257,2018-08-06,15:05:54,Dinner,NS,"[('Steak', 8), ('Fries', 8)]",456.0,-37.8157232,144.9695426,0,7.975,13.3222613
ORDA00890,2018-04-11,11:12:40,Breakfast,ns,"[('Eggs', 5), ('Cereal', 8), ('Coffee', 3), ('Pancake', 4)]",397.5,-37.8406543,144.9930679,0,10.893,16.3632688
ORDZ10869,2018-03-17,10:21:58,Breakfast,NS,"[('Eggs', 6), ('Cereal', 7)]",279.0,-37.824134,144.9900841,0,9.66,16.3680825
ORDY02467,2018-16-07,14:25:21,Lunch,TP,"[('Fries', 10), ('Salad', 1)]",137.2,-37.8142605,144.943144,0,9.822,13.1874517
ORDC03156,2018-01-15,08:20:16,Breakfast,NS,"[('Eggs', 8), ('Cereal', 9), ('Pancake', 5), ('Coffee', 5)]",449.5,-37.8068662,144.9387806,1,9.999,7.6557563
ORDI01120,2018-03-02,09:51:32,Breakfast,NS,"[('Cereal', 2), ('Eggs', 1)]",64.0,-37.8054083,144.9346526,0,9.934,15.2552334
ORDX07286,2018-07-21,14:35:29,Dinner,BK,"[('Chicken', 3), ('Steak', 6), ('Fries', 7), ('Burger', 5)]",605.0,-37.8245438,144.9824596,0,6.935,15.1087408
ORDA08919,2018-01-14,08:20:16,Breakfast,BK,"[('Pancake', 5), ('Eggs', 10), ('Cereal', 5), ('Coffee', 6)]",491.25,-37.8165715,144.9377202,1,10.013,8.6729874
ORDI05916,2018-09-24,16:47:19,Dinner,NS,"[('Fish&Chips', 4), ('Shrimp', 7), ('Pasta', 9), ('Salmon', 2)]",847.5,-37.8081699,144.9916973,0,8.548,14.7508212
ORDZ10365,2018-03-15,10:21:58,Breakfast,NS,"[('Cereal', 2), ('Eggs', 6), ('Pancake', 2)]",222.5,-37.8160154,144.9851741,0,8.047,13.8066396
ORDZ02918,2018-01-14,08:20:16,Breakfast,NS,"[('Coffee', 5), ('Pancake', 7), ('Cereal', 9), ('Eggs', 6)]",878.0,-37.8055704,144.9271411,1,10.676,9.0233962
ORDK03477,2018-09-18,16:37:10,Dinner,BK,"[('Fish&Chips', 3), ('Shrimp', 6), ('Pasta', 8)]",649.0,-37.8148464,145.0029943,0,10.612,10.9383726
ORDK07230,2018-07-08,14:15:12,Lunch,BK,"[('Fries', 1), ('Burger', 9), ('Salad', 4), ('Steak', 10)]",809.8,-37.8055262,144.984989,0,5.973,14.2612399
ORDB04550,2018-11-23,18:49:00,Dinner,TP,"[('Shrimp', 5), ('Pasta', 10), ('Salmon', 2), ('Fish&Chips', 3)]",732.0,-37.7938788,144.9851776,0,11.36,15.198401
ORDI00020,2018-07-22,14:35:29,Lunch,NS,"[('Chicken', 5), ('Salad', 1), ('Steak', 6), ('Fries', 9)]",555.2,37.8005147,144.9591748,0,7.241,14.6183074
ORDB09470,2018-22-03,10:32:06,Breakfast,TP,"[('Pancake', 5), ('Coffee', 9)]",188.75,-37.8130547,144.9816845,0,9.157,11.7031252
ORDX00676,2018-07-07,14:15:12,Lunch,BK,"[('Steak', 8), ('Burger', 4), ('Fries', 10)]",604.0,-37.8057346,144.9439706,1,9.209,17.4661931
ORDJ00699,2018-02-25,09:41:24,Breakfast,TP,"[('Cereal', 7), ('Pancake', 5), ('Eggs', 8)]",444.25,-37.8158954,144.9571814,0,8.28,12.679348
ORDX06119,2018-12-28,20:00:00,Dinner,BK,"[('Fish&Chips', 3), ('Pasta', 6), ('Salmon', 10), ('Shrimp', 4)]",896.0,-37.8194613,144.9526561,0,11.758,16.2588988
ORDB07191,2018-08-25,15:46:28,Lunch,TP,"[('Burger', 6), ('Salad', 1), ('Steak', 6), ('Fries', 2)]",497.2,-37.8150106,144.9695624,0,8.198,12.8485828
