,u,v,distance(m),street type,speed(km/h)
0,711327755,711332946,58,1,15
2,711327755,55725841,15,2,20
3,711327755,711327760,165,1,15
4,711327756,703557073,4,0,10
5,711327756,711332946,8,1,15
7,711327756,711331420,44,0,10
8,711327759,711331451,8,2,20
10,711327759,703557072,5,1,15
11,711327759,711331434,32,0,10
12,711327760,603633283,14,2,20
13,711327760,711331451,59,0,10
15,711327760,711327755,165,2,20
16,777781264,777781181,14,0,10
17,777781264,387153082,14,1,15
18,711327758,711334152,7,0,10
20,711327758,277517039,3,2,20
22,164102232,664379095,33,1,15
24,26476632,242399609,391,2,20
25,26476632,26476659,156,0,10
26,26476637,1883787496,290,0,10
27,356125087,356124993,107,1,15
28,356125087,269327461,97,1,15
29,356125087,356125211,45,1,15
30,26476659,452327956,368,1,15
31,26476659,26476642,244,1,15
32,123338879,1201417396,12,0,10
33,123338879,123351761,70,0,10
34,123338879,949544827,16,2,20
35,560988348,122765960,5,2,20
36,560988348,531390737,5,2,20
37,560988348,758611953,66,0,10
38,560988354,560988348,86,2,20
39,560988354,554240025,4,2,20
40,560988354,2347007247,5,0,10
41,560988353,844501003,4,1,15
42,560988353,2347007251,5,0,10
43,560988353,3810637310,12,1,15
44,4733403342,3112130621,8,1,15
45,4733403342,4733403343,31,1,15
46,4733403342,3112130620,46,1,15
47,4733403343,4733403342,31,1,15
48,367132897,306067099,53,0,10
49,367132897,6207245784,58,1,15
50,579993929,579993932,22,0,10
51,579993929,579994432,29,1,15
52,579993929,579989632,76,2,20
53,579993932,579993929,22,1,15
54,579993932,579994885,31,1,15
55,579993932,579994804,32,2,20
56,767820114,767820210,81,0,10
57,767820114,767820372,26,1,15
58,767820114,368389680,56,0,10
59,767820114,368390159,89,0,10
60,552599908,233274996,41,2,20
61,552599908,552599910,80,2,20
62,552599908,596044684,69,1,15
63,552599910,233275064,40,1,15
64,552599910,552599908,80,0,10
65,711328116,711328222,90,1,15
66,711328116,711328221,87,1,15
67,711328116,708721951,10,1,15
68,711328116,3998393838,19,2,20
69,1496842667,576860104,58,0,10
70,1496842667,2977758614,58,1,15
71,591397296,4520380454,7,2,20
72,591397296,591396149,26,0,10
73,767820210,368390158,39,2,20
74,767820210,767820114,81,1,15
75,767820210,368389680,127,0,10
76,711328220,711328221,11,1,15
77,711328221,711328116,87,1,15
78,711328221,711328220,11,0,10
79,711328221,708717124,15,1,15
80,711328221,708721952,11,2,20
81,711328222,711328116,90,1,15
82,711328222,387153106,79,1,15
83,767820372,767820114,26,0,10
84,6226313833,575570532,56,0,10
85,6226313833,746924730,11,2,20
86,6226313833,746924716,19,1,15
87,6226313835,1450727063,4,2,20
88,6226313835,4458803297,19,2,20
89,6226313835,266736930,35,0,10
90,6226313838,576833372,7,2,20
91,6226313839,4818305069,13,2,20
92,6226313842,576834725,15,1,15
93,6226313842,6226313846,272,2,20
94,6226313842,576830260,147,1,15
95,6226313846,575467530,7,2,20
96,6226313846,575384839,44,1,15
97,6226313846,575518666,297,0,10
98,6226313846,6226313842,272,0,10
99,591266434,519817337,14,1,15
100,591266434,519816456,445,1,15
101,591266434,2421604152,69,1,15
102,3276407461,92141618,68,2,20
103,3276407461,3276407462,11,1,15
104,3276407462,3276407463,37,0,10
105,3276407462,3276407461,11,1,15
106,3276407462,3884089009,57,1,15
107,3276407463,3276407462,37,0,10
108,775946936,775946941,13,1,15
109,775946936,767737648,10,2,20
110,775946936,777825195,20,2,20
111,775946938,775933087,71,1,15
112,775946938,775933182,11,2,20
113,775946938,777831779,12,1,15
114,579994300,579994432,188,1,15
115,775946941,775946936,13,2,20
116,775946941,775946115,4,0,10
117,775946941,777832638,11,0,10
118,1132069602,1132069641,10,2,20
119,1132069602,1132069644,66,0,10
121,1132069603,60653717,4,1,15
122,1132069603,1132069648,3,2,20
123,1132069603,1132069607,13,0,10
124,1132069605,92130447,10,2,20
125,1132069605,4950043382,19,0,10
126,1132069607,1132069603,13,1,15
127,1132069607,1132069656,66,0,10
129,1132069611,711762037,4,1,15
130,1132069611,711761697,2,2,20
131,1132069611,1132069644,18,1,15
132,1132069612,1132069613,4,1,15
133,1132069612,1132069637,30,1,15
134,1132069613,635530384,6,1,15
135,1132069613,4950043383,7,1,15
136,1132069615,1132069649,128,1,15
137,1132069615,1132069626,26,1,15
138,1132069617,1132069605,4,2,20
139,1132069617,1132069615,125,0,10
140,579470070,579478046,35,1,15
141,579470070,55905953,32,2,20
142,579470070,294619847,670,0,10
143,1132069623,1132069653,5,1,15
144,1132069623,60653717,6,0,10
145,1132069623,506050894,30,1,15
146,1132069623,2385153640,94,1,15
147,1132069624,1668523155,8,1,15
148,1132069624,60653700,9,1,15
149,1132069624,635530497,115,1,15
150,1132069624,1132069636,74,0,10
151,1132069626,1132069615,26,1,15
152,1132069626,1132069605,102,0,10
153,1132069631,711761815,3,0,10
154,1132069631,711761743,4,2,20
155,1132069631,1132069656,18,2,20
156,1132069636,711762206,92,0,10
157,1132069636,711763999,7,0,10
158,1132069636,1132069624,74,1,15
159,1132069637,1132069658,160,1,15
160,1132069641,1132069658,4,2,20
161,1132069641,711763999,4,1,15
162,1132069641,1132069602,10,0,10
163,1132069644,1132069611,18,0,10
