order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDX07128,2018-03-27,10:42:15,Breakfast,BK,"[('Eggs', 9), ('Coffee', 3), ('Cereal', 3)]",283.5,-37.8124577,144.9538382,0,8.327,12.7056246
ORDY04820,2018-07-08,14:15:12,Lunch,TP,"[('Steak', 8), ('Salad', 1)]",377.2,-37.8084457,144.9767849,0,9.262,13.68024
ORDI06977,2018-03-15,10:21:58,Breakfast,NS,"[('Eggs', 6), ('Pancake', 4), ('Cereal', 8), ('Coffee', 7)]",449.5,-37.8076865,144.9705908,0,7.015,11.9685032
ORDC04090,2018-02-10,09:21:07,Breakfast,NS,"[('Pancake', 9), ('Coffee', 7), ('Cereal', 7)]",417.75,-37.8077569,144.9659547,0,7.099,14.5848321
ORDC04240,2018-02-04,09:00:50,Breakfast,NS,"[('Coffee', 2), ('Eggs', 1), ('Cereal', 9), ('Pancake', 1)]",250.25,-37.8173359,144.9915902,0,9.405,15.912437
ORDJ00710,2018-07-13,14:25:21,Lunch,TP,"[('Burger', 1), ('Salad', 8), ('Steak', 4)]",348.6,-37.821859,144.9521992,0,8.451,11.3745281
ORDY08209,2018-03-04,10:01:41,Breakfast,TP,"[('Cereal', 8), ('Eggs', 8), ('Coffee', 1), ('Pancake', 8)]",545.5,-37.8191759,144.9995951,0,10.617,14.7653678
ORDY03908,2018-01-21,08:40:33,Breakfast,TP,"[('Pancake', 3), ('Cereal', 5), ('Eggs', 4)]",265.75,-37.8061216,144.9639872,0,9.161,13.406346
ORDZ08321,2018-09-11,16:27:02,Dinner,NS,"[('Shrimp', 3), ('Fish&Chips', 2)]",232.0,-37.8090083,144.9662934,0,7.199,12.9956928
ORDI02005,2018-09-08,16:16:54,Dinner,NS,"[('Shrimp', 2), ('Fish&Chips', 2), ('Salmon', 3), ('Pasta', 1)]",328.5,-37.8228089,144.9554073,0,9.553,17.380811
ORDA02136,2018-12-01,18:59:09,Dinner,BK,"[('Pasta', 2), ('Salmon', 9)]",424.0,-37.8000195,145.0055703,0,4.853,14.2353371
ORDZ01910,2018-09-09,16:16:54,Dinner,NS,"[('Pasta', 2), ('Salmon', 1), ('Fish&Chips', 10)]",446.0,-37.818092,145.004087,0,10.486,18.5332657
ORDZ02430,2018-06-13,13:24:30,Lunch,NS,"[('Steak', 7), ('Chicken', 1)]",347.0,-37.8075748,144.9629982,0,7.375,12.7471646
ORDX01030,2018-07-11,14:15:12,Lunch,BK,"[('Fries', 5), ('Steak', 7)]",375.0,-37.816506,145.0056917,0,4.13,9.7015407
ORDY09246,2018-12-05,19:09:17,Dinner,TP,"[('Pasta', 3), ('Salmon', 5)]",287.5,-37.8187081,144.9553366,0,8.297,12.7265148
ORDC05382,2018-04-12,11:22:49,Breakfast,NS,"[('Eggs', 4), ('Pancake', 9)]",306.25,-37.8006802,144.9438143,0,8.625,13.8283341
ORDY04193,2018-10-20,17:38:01,Dinner,TP,"[('Salmon', 6), ('Pasta', 5), ('Fish&Chips', 10)]",733.5,-37.8195701,144.9580157,0,7.942,14.1927018
ORDI02253,2018-12-29,20:00:00,Dinner,NS,"[('Fish&Chips', 8), ('Shrimp', 4), ('Salmon', 7), ('Pasta', 9)]",1030.5,-37.8163952,144.9381699,0,9.995,17.9109215
ORDI04390,2018-12-20,19:39:43,Dinner,NS,"[('Shrimp', 3), ('Pasta', 3), ('Salmon', 4)]",408.5,-37.8093528,144.9458259,0,9.004,15.1097676
ORDK07422,2018-10-24,17:48:10,Dinner,BK,"[('Pasta', 1), ('Fish&Chips', 10), ('Shrimp', 2)]",485.5,-37.8202661,144.9667509,0,7.874,15.435332
ORDA09465,2018-02-15,09:21:07,Breakfast,BK,"[('Pancake', 7), ('Eggs', 5)]",279.75,-37.8118825,144.9695648,0,7.166,11.9822904
ORDY08033,2018-09-20,16:37:10,Dinner,TP,"[('Shrimp', 10), ('Fish&Chips', 7), ('Salmon', 8)]",1113.0,-37.8092193,144.9524607,0,9.145,13.0116531
ORDZ02147,2018-05-16,12:23:39,Lunch,NS,"[('Fries', 1), ('Burger', 8)]",260.0,-37.7992307,145.0054592,0,9.652,15.090955
ORDJ03945,2018-08-15,15:26:11,Lunch,TP,"[('Salad', 7), ('Burger', 8), ('Chicken', 5)]",528.4,-37.8083939,144.9757389,0,9.201,12.5509037
ORDY08976,2018-12-30,20:00:00,Dinner,TP,"[('Pasta', 5), ('Shrimp', 3), ('Fish&Chips', 1)]",334.5,-37.8159715,144.9370442,0,10.459,16.4005948
ORDC08877,2018-06-03,13:04:13,Lunch,NS,"[('Salad', 2), ('Burger', 9), ('Steak', 3), ('Fries', 4)]",496.4,-37.8008844,144.9930223,0,8.412,8.1525488
ORDB02861,2018-02-23,09:41:24,Breakfast,TP,"[('Cereal', 1), ('Eggs', 2)]",65.0,-37.818954,144.9432642,0,9.515,12.2748669
ORDA09846,2018-05-15,12:23:39,Lunch,BK,"[('Burger', 2), ('Chicken', 8), ('Fries', 5), ('Steak', 10), ('Salad', 5)]",914.0,-37.8243011,144.95442,0,9.036,15.0126505
ORDY09007,2018-12-13,19:29:34,Dinner,TP,"[('Fish&Chips', 4), ('Pasta', 1), ('Salmon', 7), ('Shrimp', 2)]",562.5,-37.8004027,145.0135148,0,13.009,16.2134732
ORDX03380,2018-10-09,17:17:44,Dinner,BK,"[('Shrimp', 1), ('Fish&Chips', 3), ('Pasta', 6)]",324.0,-37.8073053,144.9732282,0,6.581,13.7958075
ORDY04382,2018-12-30,20:00:00,Dinner,TP,"[('Fish&Chips', 3), ('Shrimp', 10), ('Salmon', 8)]",973.0,-37.8257965,144.9680325,0,8.164,13.9105844
ORDJ09498,2018-05-31,12:54:05,Lunch,TP,"[('Chicken', 5), ('Salad', 8), ('Fries', 7)]",381.6,-37.8120943,144.9542108,0,8.889,12.2795172
ORDA03657,2018-02-15,09:31:16,Breakfast,BK,"[('Pancake', 3), ('Cereal', 2), ('Coffee', 3)]",137.25,-37.8106144,144.9757999,0,6.505,11.6033006
ORDI07799,2018-10-27,17:58:18,Dinner,NS,"[('Fish&Chips', 9), ('Salmon', 4), ('Shrimp', 7)]",857.0,-37.8204907,144.9659248,0,8.914,16.6918272
ORDK04743,2018-07-31,14:55:46,Lunch,BK,"[('Burger', 3), ('Chicken', 10), ('Fries', 5), ('Steak', 7)]",788.0,-37.801099,144.969947,0,7.486,13.3877668
ORDJ03048,2018-06-29,13:54:55,Lunch,TP,"[('Chicken', 9), ('Steak', 9), ('Fries', 7)]",777.0,-37.827413,144.9852205,0,9.553,6.5375673
ORDX03650,2018-07-05,14:05:04,Lunch,BK,"[('Chicken', 10), ('Burger', 2), ('Steak', 6)]",652.0,-37.8235601,144.9356707,0,10.603,17.105337
ORDC06147,2018-08-15,15:26:11,Lunch,NS,"[('Chicken', 5), ('Steak', 4)]",340.0,-37.8081851,144.9756244,0,7.292,12.7751679
ORDI08137,2018-11-04,18:08:27,Dinner,NS,"[('Pasta', 7), ('Salmon', 9), ('Shrimp', 7)]",939.5,-37.812793,144.9431557,0,9.304,16.7272912
ORDI04794,2018-08-26,15:46:28,Lunch,NS,"[('Salad', 1), ('Fries', 8), ('Chicken', 2), ('Burger', 8)]",425.2,-37.8121117,144.9382965,0,10.329,17.916455
ORDB02780,2018-12-25,19:49:51,Dinner,TP,"[('Fish&Chips', 9), ('Pasta', 5), ('Salmon', 8)]",780.5,-37.8252348,144.9567953,0,8.097,12.4463874
ORDA02283,2018-01-28,08:50:42,Breakfast,BK,"[('Cereal', 4), ('Eggs', 8), ('Coffee', 1), ('Pancake', 3)]",340.25,-37.8103392,144.9375626,0,9.961,17.1671465
ORDC06773,2018-08-04,15:05:54,Lunch,NS,"[('Burger', 3), ('Salad', 7), ('Steak', 9), ('Chicken', 3), ('Fries', 6)]",786.4,-37.8038861,144.9497499,0,8.381,16.2625561
ORDA08098,2018-04-13,11:22:49,Breakfast,BK,"[('Cereal', 7), ('Coffee', 2), ('Pancake', 5), ('Eggs', 1)]",305.25,-37.819554,144.9632428,0,7.952,13.1062499
ORDC04815,2018-07-25,14:45:38,Lunch,NS,"[('Fries', 4), ('Burger', 1)]",79.0,-37.8117362,144.9563269,0,8.115,13.7399094
ORDZ10690,2018-02-12,09:21:07,Breakfast,NS,"[('Pancake', 8), ('Eggs', 9)]",392.0,-37.8156509,144.9741108,0,8.049,13.0905363
ORDK02630,2018-11-23,18:49:00,Dinner,BK,"[('Fish&Chips', 2), ('Shrimp', 4), ('Pasta', 9), ('Salmon', 2)]",615.5,-37.8098167,144.9360653,0,10.094,17.5175591
ORDK04727,2018-03-14,10:21:58,Breakfast,BK,"[('Eggs', 5), ('Coffee', 7), ('Cereal', 8)]",330.5,-37.8025657,145.0050374,0,5.311,9.9017156
ORDY01982,2018-09-24,16:47:19,Dinner,TP,"[('Shrimp', 6), ('Fish&Chips', 8)]",604.0,-37.8168194,144.9879653,0,9.549,13.5812431
ORDY03586,2018-12-15,19:29:34,Dinner,TP,"[('Pasta', 1), ('Fish&Chips', 6)]",237.5,-37.807636,144.9417408,0,10.132,15.4512357
ORDI02920,2018-12-07,19:19:26,Dinner,NS,"[('Shrimp', 4), ('Salmon', 1)]",257.0,-37.811351,144.9647781,0,7.586,13.493461
ORDC05942,2018-07-24,14:45:38,Lunch,NS,"[('Chicken', 5), ('Burger', 7), ('Salad', 1)]",394.2,-37.8112121,144.9477468,0,10.785,16.4706578
ORDY03882,2018-05-20,12:33:48,Lunch,TP,"[('Chicken', 7), ('Fries', 8)]",320.0,-37.8099889,144.9953274,0,10.625,15.8714479
ORDC00441,2018-04-03,11:02:32,Breakfast,NS,"[('Cereal', 2), ('Eggs', 1)]",64.0,-37.8122743,144.9890736,0,8.737,13.382624
ORDZ01494,2018-03-17,10:21:58,Breakfast,NS,"[('Cereal', 8), ('Coffee', 2), ('Pancake', 4)]",280.0,-37.8079266,144.9712996,0,7.015,13.5813674
ORDB00207,2018-11-29,18:59:09,Dinner,TP,"[('Shrimp', 2), ('Fish&Chips', 9)]",423.0,-37.8095897,144.9726595,0,9.107,18.92682315
ORDA00766,2018-07-23,14:45:38,Lunch,BK,"[('Steak', 8), ('Burger', 6), ('Fries', 3)]",582.0,-37.8226049,145.0093728,0,4.648,15.10300305
ORDA10310,2018-02-18,09:31:16,Breakfast,BK,"[('Eggs', 7), ('Coffee', 1), ('Cereal', 8)]",329.5,-37.8000263,145.0141212,0,4.928,12.3533663
ORDX08669,2018-10-12,17:27:53,Dinner,BK,"[('Salmon', 2), ('Shrimp', 2), ('Pasta', 5), ('Fish&Chips', 5)]",502.5,-37.8201259,144.9803681,0,7.153,14.1426767
ORDX06395,2018-11-05,18:08:27,Dinner,BK,"[('Pasta', 5), ('Salmon', 5), ('Fish&Chips', 9), ('Shrimp', 10)]",1197.5,-37.809398,144.9736774,0,6.584,13.6505326
ORDB03796,2018-02-27,09:51:32,Breakfast,TP,"[('Pancake', 6), ('Cereal', 3), ('Coffee', 9), ('Eggs', 9)]",474.0,-37.810344,144.9777546,0,9.2,11.8386341
ORDC07177,2018-09-12,16:27:02,Dinner,NS,"[('Pasta', 5), ('Shrimp', 6), ('Fish&Chips', 6), ('Salmon', 4)]",835.5,-37.8230078,144.9652809,0,9.168,14.7214203
ORDZ01644,2018-08-30,15:56:37,Lunch,NS,"[('Chicken', 8), ('Burger', 3), ('Salad', 4)]",417.8,-37.8089723,144.9615529,0,7.805,13.5684589
ORDJ01777,2018-11-21,18:49:00,Dinner,TP,"[('Fish&Chips', 6), ('Pasta', 6)]",375.0,-37.8007346,145.0020597,0,12.043,15.4935891
ORDY04778,2018-11-26,18:59:09,Dinner,TP,"[('Pasta', 2), ('Fish&Chips', 10)]",405.0,-37.8061239,144.9583036,0,9.078,13.1310484
